titulo,classificacao,palavras_achadas
Alívio Imediato,Melancolica,"['Melancolica: dor (2)', 'Melancolica: chuv (6)', 'Melancolica: noite (7)', 'Melancolica: vazio (1)', 'Otimista: melhor (2)', 'Filosofica: ser (2)', 'Filosofica: mente (3)']"
Nau à Deriva,Melancolica,"['Melancolica: perdi (7)', 'Otimista: espera (4)', 'Filosofica: ser (4)']"
Além dos Outdoors,Filosofica,"['Otimista: amor (1)', 'Filosofica: ser (2)', 'Filosofica: mente (1)', 'Filosofica: saber (4)']"
A Revolta dos Dândis I,Filosofica,"['Melancolica: solid (1)', 'Melancolica: fim (2)', 'Otimista: sol (1)', 'Filosofica: tempo (1)', 'Filosofica: mundo (1)', 'Filosofica: verdad (2)']"
A Revolta dos Dândis II,Otimista,"['Melancolica: dor (1)', 'Melancolica: escuro (1)', 'Otimista: sonh (18)', 'Otimista: vida (1)', 'Filosofica: tempo (14)', 'Filosofica: ser (4)', 'Filosofica: sentido (1)']"
Desde Aquele Dia,Melancolica,"['Melancolica: sozin (9)', 'Melancolica: fim (2)', 'Melancolica: noite (2)', 'Otimista: sonh (4)', 'Otimista: vida (4)', 'Otimista: paz (3)', 'Filosofica: saber (5)']"
"Filmes de Guerra, Canções de Amor",Melancolica,"['Melancolica: fim (5)', 'Melancolica: frio (2)', 'Melancolica: medo (3)', 'Melancolica: morr (1)', 'Otimista: espera (3)', 'Otimista: sorri (1)', 'Otimista: vida (1)', 'Otimista: amor (5)', 'Otimista: futuro (1)', 'Filosofica: mente (3)']"
Guardas da Fronteira,Filosofica,"['Melancolica: dor (1)', 'Melancolica: fim (1)', 'Melancolica: morte (1)', 'Otimista: sol (1)', 'Otimista: espera (1)', 'Otimista: vida (1)', 'Otimista: livre (1)', 'Filosofica: ser (2)', 'Filosofica: mundo (1)', 'Filosofica: limit (7)', 'Filosofica: mente (1)']"
Infinita Highway,Filosofica,"['Melancolica: dor (1)', 'Melancolica: noite (1)', 'Melancolica: medo (2)', 'Melancolica: morr (3)', 'Otimista: sorri (1)', 'Otimista: vida (3)', 'Otimista: amor (1)', 'Otimista: livre (1)', 'Filosofica: ser (6)', 'Filosofica: mente (2)', 'Filosofica: saber (2)']"
Quem Tem Pressa Não Se Interessa,Filosofica,"['Melancolica: perdi (1)', 'Otimista: espera (1)', 'Filosofica: tempo (2)']"
Refrão de Bolero,Filosofica,"['Melancolica: noite (2)', 'Filosofica: ser (2)', 'Filosofica: pensar (6)']"
Terra de Gigantes,Filosofica,"['Melancolica: noite (1)', 'Otimista: sol (1)', 'Otimista: espera (1)', 'Otimista: vida (2)', 'Filosofica: tempo (3)', 'Filosofica: mundo (2)', 'Filosofica: mente (2)', 'Filosofica: saber (1)']"
Vozes,Melancolica,"['Melancolica: solid (5)', 'Melancolica: noite (4)', 'Melancolica: medo (1)', 'Melancolica: escuro (1)', 'Melancolica: sofr (4)', 'Otimista: sol (7)', 'Filosofica: mundo (1)', 'Filosofica: verdad (2)']"
Até o Fim,Melancolica,"['Melancolica: fim (7)', 'Melancolica: noite (1)', 'Otimista: vida (2)', 'Filosofica: ser (5)']"
Camuflagem,Melancolica,"['Melancolica: dor (1)', 'Otimista: vida (1)', 'Filosofica: tempo (1)']"
Dançando no Campo Minado,Otimista,"['Otimista: vida (2)', 'Otimista: festa (1)', 'Otimista: melhor (1)', 'Filosofica: ser (3)', 'Filosofica: mundo (1)']"
Dom Quixote,Melancolica,"['Melancolica: perdi (5)', 'Otimista: amor (5)', 'Filosofica: tempo (1)', 'Filosofica: ser (2)']"
Duas Noites no Deserto,Filosofica,"['Melancolica: fim (1)', 'Melancolica: noite (5)', 'Otimista: vida (4)', 'Otimista: acredit (1)', 'Filosofica: tempo (1)', 'Filosofica: ser (7)', 'Filosofica: mundo (1)', 'Filosofica: exist (1)']"
Fusão à Frio,Melancolica,"['Melancolica: frio (3)', 'Filosofica: ser (2)']"
Na Veia,Otimista,"['Melancolica: fim (1)', 'Otimista: vida (5)', 'Otimista: melhor (1)', 'Filosofica: saber (2)']"
Outono em Porto Alegre,Melancolica,"['Melancolica: dor (1)', 'Melancolica: perdi (3)', 'Otimista: sonh (1)', 'Otimista: sorri (1)', 'Otimista: paz (1)', 'Filosofica: mundo (1)']"
Rota de Colisão,Melancolica,"['Melancolica: escuro (1)', 'Otimista: luz (1)', 'Filosofica: verdad (1)']"
Segunda-Feira Blues I,Filosofica,"['Otimista: vida (1)', 'Filosofica: ser (3)', 'Filosofica: mundo (1)', 'Filosofica: limit (1)']"
Segunda-Feira Blues II,Filosofica,['Filosofica: mundo (2)']
Às Vezes Nunca,Otimista,"['Otimista: espera (6)', 'Otimista: amor (1)', 'Filosofica: mundo (1)']"
Mapas do Acaso,Otimista,['Otimista: sol (3)']
Quanto Vale a Vida?,Otimista,"['Melancolica: fim (1)', 'Melancolica: noite (2)', 'Melancolica: perdi (1)', 'Otimista: vida (17)', 'Filosofica: ser (2)', 'Filosofica: mundo (1)', 'Filosofica: saber (1)']"
Realidade Virtual,Filosofica,"['Otimista: sol (1)', 'Otimista: vida (1)', 'Otimista: brilh (1)', 'Otimista: acredit (2)', 'Filosofica: pensar (1)', 'Filosofica: sentido (1)', 'Filosofica: duvida (1)', 'Filosofica: saber (2)', 'Filosofica: realidade (1)']"
A Conquista do Espaço,Filosofica,"['Melancolica: frio (2)', 'Melancolica: morr (1)', 'Filosofica: ser (5)', 'Filosofica: mundo (2)', 'Filosofica: mente (4)', 'Filosofica: human (1)']"
A Conquista do Espelho,Melancolica,"['Melancolica: dor (1)', 'Melancolica: noite (2)', 'Melancolica: perdi (1)', 'Otimista: paz (1)', 'Filosofica: sentido (1)']"
Até Quando Você Vai Ficar?,Filosofica,"['Otimista: sonh (1)', 'Filosofica: saber (8)']"
Canibal Vegetariano Devora Planta Carnívora,Otimista,"['Melancolica: dor (1)', 'Melancolica: fim (1)', 'Melancolica: medo (5)', 'Otimista: sonh (2)', 'Otimista: luz (1)', 'Otimista: novo (1)', 'Otimista: paz (2)', 'Otimista: futuro (1)', 'Otimista: acredit (1)', 'Otimista: livre (1)', 'Filosofica: ser (2)', 'Filosofica: mundo (4)', 'Filosofica: limit (1)', 'Filosofica: sentido (1)', 'Filosofica: eterno (1)']"
Chuva de Containers,Melancolica,"['Melancolica: trist (4)', 'Melancolica: chuv (4)', 'Melancolica: sofr (2)', 'Filosofica: mundo (1)', 'Filosofica: destin (3)']"
Ninguém = Ninguém,Filosofica,"['Otimista: espera (1)', 'Otimista: vida (1)', 'Filosofica: mundo (1)', 'Filosofica: mente (3)']"
No Inverno Fica Tarde + Cedo,Melancolica,"['Melancolica: solid (2)', 'Melancolica: noite (1)', 'Melancolica: medo (1)', 'Melancolica: perdi (4)', 'Otimista: sol (2)', 'Otimista: sonh (2)', 'Otimista: vida (1)', 'Filosofica: human (1)']"
Pampa no Walkman,Filosofica,"['Melancolica: chuv (1)', 'Melancolica: noite (1)', 'Otimista: futuro (1)', 'Filosofica: ser (3)', 'Filosofica: mente (1)']"
Parabólica,Otimista,"['Otimista: sol (1)', 'Otimista: vida (1)', 'Otimista: melhor (1)', 'Filosofica: mente (1)']"
Pose,Otimista,"['Melancolica: morr (1)', 'Melancolica: morte (1)', 'Otimista: luz (2)', 'Otimista: novo (1)', 'Otimista: vida (2)', 'Otimista: amor (2)', 'Otimista: flor (1)', 'Otimista: futuro (2)', 'Filosofica: tempo (1)', 'Filosofica: ser (3)', 'Filosofica: mundo (2)', 'Filosofica: duvida (2)']"
Problemas... Sempre Existiram,Filosofica,"['Melancolica: fim (5)', 'Melancolica: medo (1)', 'Melancolica: morte (1)', 'Otimista: paz (2)', 'Otimista: melhor (1)', 'Filosofica: ser (1)', 'Filosofica: exist (10)']"
Túnel do Tempo,Otimista,"['Melancolica: fim (4)', 'Melancolica: chuv (1)', 'Otimista: luz (6)', 'Otimista: vida (1)', 'Otimista: futuro (2)', 'Otimista: melhor (2)', 'Filosofica: tempo (7)', 'Filosofica: ser (3)']"
Beijos pra Torcida,Melancolica,"['Melancolica: fim (4)', 'Melancolica: frio (1)', 'Otimista: paz (1)', 'Filosofica: mente (1)']"
Crônica,Filosofica,['Filosofica: mundo (2)']
Eu Ligo pra Você,Otimista,"['Otimista: espera (4)', 'Otimista: sorri (3)', 'Otimista: vida (3)']"
Fé Nenhuma,Otimista,"['Melancolica: morr (3)', 'Otimista: futuro (2)', 'Otimista: acredit (3)', 'Filosofica: ser (1)']"
Longe Demais das Capitais,Filosofica,"['Melancolica: noite (2)', 'Filosofica: mundo (14)']"
Nada a Ver,Melancolica,"['Melancolica: chuv (1)', 'Melancolica: noite (3)', 'Melancolica: saudade (1)', 'Otimista: sonh (1)', 'Filosofica: ser (1)', 'Filosofica: verdad (1)', 'Filosofica: saber (1)']"
Nossas Vidas,Otimista,"['Melancolica: sozin (1)', 'Melancolica: fim (1)', 'Melancolica: noite (1)', 'Melancolica: vazio (1)', 'Melancolica: escuro (1)', 'Otimista: luz (1)', 'Otimista: novo (1)', 'Otimista: vida (6)', 'Filosofica: mundo (1)', 'Filosofica: exist (1)', 'Filosofica: mente (1)', 'Filosofica: sentido (2)', 'Filosofica: human (1)']"
Segurança,Neutro/Sem palavras-chave,[]
Sopa de Letrinhas,Melancolica,"['Melancolica: sozin (5)', 'Melancolica: fim (2)', 'Melancolica: noite (2)', 'Otimista: sonh (2)', 'Otimista: amor (5)', 'Otimista: paz (2)', 'Filosofica: ser (1)', 'Filosofica: mundo (1)']"
Sweet Begônia,Melancolica,['Melancolica: escuro (2)']
Toda Forma de Poder,Otimista,"['Melancolica: morr (1)', 'Otimista: sol (2)']"
Todo Mundo é uma Ilha,Otimista,"['Melancolica: sozin (1)', 'Melancolica: fim (2)', 'Melancolica: noite (1)', 'Otimista: sol (1)', 'Otimista: vida (1)', 'Otimista: paz (3)', 'Filosofica: mundo (4)', 'Filosofica: sentido (1)']"
3 Minutos,Otimista,"['Otimista: espera (2)', 'Otimista: acredit (4)', 'Filosofica: ser (4)']"
A Ilha Não Se Curva,Otimista,"['Melancolica: fim (1)', 'Melancolica: noite (9)', 'Melancolica: medo (1)', 'Otimista: luz (2)', 'Otimista: vida (9)', 'Otimista: brilh (1)', 'Otimista: paz (1)']"
Alucinação,Melancolica,"['Melancolica: sozin (1)', 'Melancolica: solid (1)', 'Melancolica: noite (2)', 'Melancolica: cinza (1)', 'Otimista: sol (1)']"
A Montanha,Otimista,['Otimista: acredit (1)']
Banco,Otimista,"['Melancolica: chuv (1)', 'Otimista: sol (1)', 'Otimista: futuro (1)', 'Otimista: melhor (1)']"
Deserto Freezer,Melancolica,"['Melancolica: solid (1)', 'Melancolica: medo (24)', 'Otimista: sol (4)', 'Filosofica: ser (4)']"
Faz Parte,Melancolica,"['Melancolica: perdi (2)', 'Filosofica: ser (1)', 'Filosofica: sentido (1)']"
Humano Demais,Filosofica,"['Melancolica: dor (1)', 'Otimista: amor (1)', 'Filosofica: tempo (6)', 'Filosofica: ser (8)', 'Filosofica: mente (1)', 'Filosofica: human (6)']"
Nove Zero Cinco Um,Filosofica,"['Otimista: vida (1)', 'Filosofica: tempo (3)']"
Nuvem,Melancolica,"['Melancolica: sozin (6)', 'Melancolica: fim (2)', 'Melancolica: chuv (1)', 'Melancolica: adeus (12)', 'Otimista: sol (1)', 'Otimista: vida (3)', 'Filosofica: ser (3)', 'Filosofica: porque (1)']"
Outros Tempos,Filosofica,"['Otimista: novo (2)', 'Otimista: vida (2)', 'Filosofica: tempo (8)', 'Filosofica: ser (8)']"
Sem Problema,Filosofica,"['Melancolica: medo (1)', 'Otimista: amor (2)', 'Otimista: melhor (3)', 'Filosofica: ser (4)', 'Filosofica: saber (8)']"
Cinza,Filosofica,"['Melancolica: cinza (1)', 'Otimista: sorri (5)', 'Otimista: flor (1)', 'Filosofica: tempo (1)', 'Filosofica: ser (1)', 'Filosofica: mundo (4)', 'Filosofica: mente (1)']"
Coração Blindado,Filosofica,"['Melancolica: dor (1)', 'Otimista: sonh (1)', 'Filosofica: tempo (4)', 'Filosofica: exist (1)']"
Faz de Conta,Melancolica,['Melancolica: fim (1)']
Guantánamo,Filosofica,"['Melancolica: adeus (1)', 'Otimista: melhor (1)', 'Filosofica: ser (2)', 'Filosofica: mundo (1)', 'Filosofica: saber (1)']"
Luz,Filosofica,"['Melancolica: dor (2)', 'Otimista: luz (1)', 'Otimista: amor (1)', 'Filosofica: ser (1)', 'Filosofica: exist (6)']"
Não Consigo Odiar Ninguém,Filosofica,"['Melancolica: fim (1)', 'Otimista: sonh (3)', 'Otimista: futuro (2)', 'Filosofica: tempo (2)', 'Filosofica: ser (2)', 'Filosofica: mundo (1)', 'Filosofica: porque (3)']"
"No Meio De Tudo, Você",Filosofica,['Filosofica: mente (1)']
Quebra-Cabeça,Filosofica,"['Melancolica: medo (1)', 'Filosofica: tempo (2)', 'Filosofica: ser (4)']"
Vertical,Filosofica,"['Filosofica: mundo (12)', 'Filosofica: saber (7)']"
A Verdade a Ver Navios,Filosofica,"['Otimista: sonh (2)', 'Otimista: luz (1)', 'Otimista: paz (1)', 'Filosofica: mundo (2)', 'Filosofica: porque (2)', 'Filosofica: verdad (2)', 'Filosofica: realidade (1)']"
Cidade em Chamas,Melancolica,"['Melancolica: sozin (1)', 'Melancolica: solid (1)', 'Melancolica: fim (5)', 'Otimista: sol (2)', 'Otimista: brilh (1)', 'Filosofica: sentido (3)']"
Desde Quando,Otimista,"['Otimista: espera (1)', 'Otimista: sonh (2)', 'Otimista: novo (1)', 'Otimista: brilh (1)', 'Otimista: paz (1)', 'Otimista: melhor (2)', 'Filosofica: verdad (2)', 'Filosofica: sentido (1)', 'Filosofica: human (2)']"
Nunca Se Sabe,Melancolica,"['Melancolica: fim (4)', 'Melancolica: noite (1)', 'Melancolica: morr (3)', 'Otimista: vida (4)', 'Otimista: melhor (4)', 'Filosofica: ser (1)', 'Filosofica: porque (5)']"
Ouça O Que Eu Digo: Não Ouça Ninguém,Filosofica,"['Otimista: sol (1)', 'Otimista: espera (1)', 'Filosofica: ser (7)']"
Pra Entender,Melancolica,"['Melancolica: fim (1)', 'Melancolica: noite (1)', 'Otimista: sol (1)', 'Otimista: sonh (1)', 'Filosofica: sentido (1)']"
Quem Diria,Filosofica,"['Melancolica: fim (4)', 'Otimista: paz (8)', 'Filosofica: ser (8)', 'Filosofica: saber (2)']"
Sob o Tapete,Filosofica,"['Melancolica: cinza (3)', 'Otimista: espera (2)', 'Otimista: paz (1)', 'Filosofica: ser (7)']"
Somos Quem Podemos Ser,Otimista,"['Otimista: sonh (3)', 'Otimista: novo (2)', 'Otimista: vida (5)', 'Otimista: brilh (1)', 'Filosofica: ser (9)', 'Filosofica: mente (1)', 'Filosofica: duvida (1)']"
Tribos e Tribunais,Otimista,"['Otimista: alegri (1)', 'Otimista: paz (1)', 'Filosofica: saber (1)']"
Variações Sobre um Mesmo Tema,Filosofica,"['Melancolica: medo (1)', 'Otimista: sol (1)', 'Otimista: paz (2)', 'Filosofica: mundo (1)', 'Filosofica: limit (1)', 'Filosofica: destin (1)', 'Filosofica: exist (4)']"
Anoiteceu em Porto Alegre,Melancolica,"['Melancolica: dor (4)', 'Melancolica: solid (1)', 'Melancolica: noite (27)', 'Otimista: sol (5)', 'Otimista: espera (3)', 'Otimista: luz (5)', 'Otimista: flor (1)', 'Otimista: acredit (3)', 'Filosofica: tempo (1)', 'Filosofica: ser (2)', 'Filosofica: mundo (1)', 'Filosofica: verdad (1)', 'Filosofica: exist (3)', 'Filosofica: mente (2)']"
A Violência Travestida Faz Seu Trottoir,Melancolica,"['Melancolica: dor (3)', 'Melancolica: medo (4)', 'Melancolica: perdi (2)', 'Melancolica: morte (2)', 'Otimista: espera (1)', 'Otimista: vida (4)', 'Otimista: amor (1)', 'Otimista: acredit (1)', 'Otimista: livre (1)']"
Era um Garoto que como Eu Amava os Beatles e os Rolling Stones,Filosofica,"['Melancolica: fim (1)', 'Otimista: espera (1)', 'Filosofica: ser (1)', 'Filosofica: mundo (2)', 'Filosofica: mente (2)']"
Ilusão de Ótica,Filosofica,"['Filosofica: ser (1)', 'Filosofica: mente (1)']"
Nunca Mais Poder,Filosofica,"['Melancolica: medo (3)', 'Otimista: brilh (1)', 'Filosofica: ser (5)', 'Filosofica: mundo (25)', 'Filosofica: mente (2)', 'Filosofica: human (1)', 'Filosofica: eterno (13)']"
"O Exército de um Homem Só, I",Otimista,"['Otimista: luz (1)', 'Otimista: paz (4)', 'Otimista: livre (1)', 'Filosofica: ser (3)']"
"O Exército de um Homem Só, II",Filosofica,"['Otimista: paz (2)', 'Otimista: livre (1)', 'Filosofica: ser (2)', 'Filosofica: sentido (5)']"
Olhos Iguais aos Seus,Melancolica,"['Melancolica: dor (5)', 'Otimista: sol (1)', 'Otimista: melhor (3)', 'Filosofica: ser (4)', 'Filosofica: mundo (1)']"
O Papa é Pop,Filosofica,"['Otimista: vida (1)', 'Filosofica: mundo (3)', 'Filosofica: mente (4)']"
Perfeita Simetria,Filosofica,"['Melancolica: noite (2)', 'Otimista: sol (1)', 'Filosofica: tempo (5)', 'Filosofica: ser (2)']"
Pra Ser Sincero,Filosofica,"['Melancolica: dor (1)', 'Melancolica: perdi (1)', 'Otimista: paz (1)', 'Filosofica: ser (7)', 'Filosofica: mente (1)']"
Algo Por Você,Otimista,"['Melancolica: noite (1)', 'Melancolica: sofr (2)', 'Otimista: espera (6)', 'Filosofica: saber (1)']"
A Perigo,Filosofica,"['Melancolica: dor (1)', 'Filosofica: ser (4)', 'Filosofica: mente (1)']"
A Promessa,Otimista,"['Melancolica: perdi (1)', 'Otimista: sol (4)', 'Otimista: paz (1)', 'Filosofica: ser (1)']"
Hora do Mergulho,Otimista,"['Otimista: luz (2)', 'Otimista: paz (3)', 'Filosofica: mundo (1)']"
Ilex Paraguarienses,Melancolica,"['Melancolica: sozin (1)', 'Melancolica: fim (2)', 'Melancolica: noite (3)', 'Melancolica: escuro (1)', 'Otimista: venc (1)', 'Otimista: livre (3)', 'Otimista: melhor (3)']"
Lado a Lado,Filosofica,"['Filosofica: ser (5)', 'Filosofica: saber (5)']"
Lance de Dados,Melancolica,"['Melancolica: fim (1)', 'Filosofica: saber (1)']"
O Castelo dos Destinos Cruzados,Filosofica,"['Melancolica: noite (1)', 'Melancolica: frio (1)', 'Melancolica: perdi (1)', 'Melancolica: morte (1)', 'Otimista: acredit (1)', 'Filosofica: tempo (2)', 'Filosofica: ser (2)', 'Filosofica: destin (3)', 'Filosofica: mente (1)']"
Por Acaso,Otimista,"['Otimista: futuro (1)', 'Filosofica: ser (1)']"
Simples de Coração,Filosofica,"['Melancolica: fim (1)', 'Otimista: luz (1)', 'Otimista: vida (1)', 'Otimista: paz (1)', 'Filosofica: tempo (3)', 'Filosofica: destin (1)']"
Vícios de Linguagem,Filosofica,"['Filosofica: verdad (1)', 'Filosofica: exist (2)']"
3ª do Plural,Otimista,"['Otimista: sol (2)', 'Otimista: vida (1)', 'Filosofica: verdad (1)', 'Filosofica: pensar (1)', 'Filosofica: mente (1)']"
Arame Farpado,Filosofica,"['Melancolica: trist (1)', 'Melancolica: sofr (4)', 'Otimista: voar (1)', 'Filosofica: ser (5)', 'Filosofica: exist (1)']"
Datas e Nomes,Filosofica,"['Otimista: paz (1)', 'Filosofica: tempo (2)', 'Filosofica: mente (1)']"
Esportes Radicais,Filosofica,"['Melancolica: dor (1)', 'Filosofica: ser (1)', 'Filosofica: pensar (1)', 'Filosofica: sentido (9)']"
E-Stória,Otimista,"['Melancolica: fim (1)', 'Otimista: vida (4)', 'Otimista: futuro (3)', 'Otimista: acredit (12)', 'Filosofica: saber (1)']"
Nem + 1 Dia,Otimista,"['Melancolica: noite (1)', 'Otimista: sol (1)', 'Otimista: espera (1)', 'Otimista: vida (2)', 'Filosofica: ser (4)']"
Nunca Mais,Otimista,"['Melancolica: dor (1)', 'Melancolica: chuv (1)', 'Otimista: sol (1)', 'Otimista: sorri (2)', 'Otimista: vida (2)', 'Filosofica: ser (1)']"
Pra Ficar Legal,Otimista,"['Otimista: sol (1)', 'Otimista: luz (1)', 'Otimista: brilh (1)', 'Otimista: paz (1)', 'Filosofica: tempo (1)']"
Ritos de Passagem,Filosofica,"['Melancolica: medo (6)', 'Otimista: livre (5)', 'Filosofica: tempo (4)', 'Filosofica: mundo (4)']"
Sei Não,Filosofica,"['Otimista: sol (2)', 'Otimista: sonh (3)', 'Otimista: futuro (3)', 'Filosofica: ser (8)', 'Filosofica: saber (1)']"
Surfando Karmas & DNA,Otimista,"['Melancolica: medo (1)', 'Otimista: espera (1)', 'Otimista: vida (2)', 'Otimista: futuro (1)', 'Otimista: melhor (1)', 'Filosofica: ser (1)', 'Filosofica: verdad (2)', 'Filosofica: mente (1)']"
O Vagabundo,Filosofica,"['Melancolica: fim (2)', 'Otimista: espera (2)', 'Otimista: vida (3)', 'Otimista: amor (4)', 'Filosofica: ser (4)', 'Filosofica: mente (6)']"
Ando Só,Filosofica,['Filosofica: saber (2)']
Curta-Metragem,Otimista,"['Otimista: vida (3)', 'Filosofica: mente (2)']"
Descendo a Serra,Filosofica,"['Melancolica: fim (2)', 'Melancolica: adeus (2)', 'Otimista: sol (1)', 'Otimista: luz (1)', 'Otimista: novo (1)', 'Filosofica: ser (9)']"
Herdeiro da Pampa Pobre,Filosofica,"['Otimista: sol (2)', 'Filosofica: ser (6)', 'Filosofica: porque (4)']"
Muros e Grades,Otimista,"['Melancolica: solid (2)', 'Melancolica: noite (4)', 'Melancolica: medo (2)', 'Melancolica: morr (2)', 'Otimista: sol (2)', 'Otimista: vida (10)', 'Filosofica: tempo (1)', 'Filosofica: ser (3)', 'Filosofica: destin (1)', 'Filosofica: verdad (1)', 'Filosofica: sentido (2)']"
Museu de Cera,Filosofica,"['Melancolica: medo (2)', 'Otimista: espera (1)', 'Otimista: vida (2)', 'Otimista: acredit (4)', 'Filosofica: ser (10)', 'Filosofica: mundo (1)', 'Filosofica: verdad (1)', 'Filosofica: mente (1)', 'Filosofica: duvida (1)', 'Filosofica: saber (2)']"
Não é Sempre,Otimista,"['Melancolica: medo (2)', 'Otimista: vida (7)', 'Filosofica: ser (2)', 'Filosofica: duvida (1)', 'Filosofica: human (1)']"
Nunca é Sempre,Melancolica,"['Melancolica: fim (9)', 'Filosofica: porque (1)', 'Filosofica: mente (1)', 'Filosofica: saber (1)']"
O Sonho é Popular,Otimista,"['Melancolica: dor (1)', 'Otimista: sonh (4)', 'Otimista: flor (1)', 'Filosofica: verdad (3)', 'Filosofica: mente (1)']"
Piano Bar,Melancolica,"['Melancolica: sozin (3)', 'Melancolica: solid (4)', 'Melancolica: noite (6)', 'Melancolica: escuro (1)', 'Otimista: sol (5)', 'Otimista: espera (1)', 'Otimista: luz (3)', 'Filosofica: tempo (3)', 'Filosofica: verdad (4)', 'Filosofica: mente (1)']"
Quartos de Hotel,Melancolica,"['Melancolica: dor (1)', 'Melancolica: solid (2)', 'Melancolica: noite (5)', 'Melancolica: escuro (6)', 'Melancolica: morr (1)', 'Otimista: sol (2)', 'Otimista: luz (3)', 'Otimista: futuro (3)', 'Filosofica: tempo (1)', 'Filosofica: verdad (1)', 'Filosofica: mente (4)']"
Sala Vip,Filosofica,"['Melancolica: fim (1)', 'Otimista: sol (2)', 'Otimista: vida (1)', 'Otimista: melhor (1)', 'Filosofica: ser (1)', 'Filosofica: sentido (5)']"
Sampa no Walkman,Filosofica,"['Melancolica: chuv (1)', 'Otimista: novo (2)', 'Filosofica: ser (2)', 'Filosofica: destin (1)', 'Filosofica: verdad (1)']"
Várias Variáveis,Neutro/Sem palavras-chave,[]
10.000 Destinos,Filosofica,"['Otimista: espera (1)', 'Otimista: vida (1)', 'Filosofica: ser (6)', 'Filosofica: destin (2)']"
3x4,Otimista,"['Melancolica: perdi (1)', 'Otimista: luz (1)', 'Otimista: vida (2)', 'Otimista: melhor (2)', 'Filosofica: ser (1)', 'Filosofica: verdad (2)']"
Até Mais,Otimista,"['Melancolica: dor (2)', 'Melancolica: adeus (1)', 'Otimista: sonh (3)', 'Otimista: vida (3)', 'Otimista: melhor (1)', 'Filosofica: ser (3)', 'Filosofica: mundo (1)']"
Concreto e Asfalto,Filosofica,"['Filosofica: tempo (1)', 'Filosofica: ser (3)']"
Cruzada,Otimista,"['Melancolica: sozin (1)', 'Otimista: sol (1)', 'Otimista: flor (3)', 'Otimista: paz (1)']"
Eu Que Não Amo Você,Melancolica,"['Melancolica: noite (1)', 'Melancolica: saudade (1)']"
Melhor Assim,Otimista,"['Melancolica: dor (1)', 'Melancolica: fim (4)', 'Otimista: melhor (21)', 'Filosofica: mundo (2)']"
Nada Fácil,Melancolica,"['Melancolica: dor (1)', 'Melancolica: noite (3)', 'Otimista: vida (2)', 'Otimista: flor (2)', 'Filosofica: ser (3)']"
Na Real,Filosofica,"['Melancolica: noite (1)', 'Otimista: luz (1)', 'Otimista: vida (1)', 'Filosofica: tempo (3)', 'Filosofica: ser (11)', 'Filosofica: verdad (1)', 'Filosofica: exist (6)']"
Negro Amor,Otimista,"['Melancolica: dor (1)', 'Otimista: sol (1)', 'Otimista: luz (2)', 'Otimista: vida (1)', 'Otimista: amor (14)']"
O Olho do Furacão,Filosofica,"['Melancolica: dor (2)', 'Otimista: sol (1)', 'Filosofica: tempo (1)', 'Filosofica: pensar (2)']"
Seguir Viagem,Otimista,"['Otimista: voar (1)', 'Filosofica: limit (1)']"
